PlateSequenceName,BatchName,LocalCompletionTime,CompletionState,WellId,ChemistryId,ProbeId,Concentration,Units,Endpoint,SampleSize,InitialBaseline,Plateau,FinalBaseline,NetPlateau,NetPlateauTempAdj,CrossNetPlateau,CrossNetPlateauTempAdj,PlateauSlope,Temperature,Errors,Conc_clean,is_outlier
20251114-T5,TestBatch-1,19/11/2025 02:22:28 p.m.,Complete,R24_A03,Lactate,Probe1B,2.65607394119262,g/L,00:00:30,25,1.82769911629813,19.6838338034494,1.93533270699637,17.8561346871512,17.9347559271565,,,2.79685429164341,26.1900749206543,,2.65607394119262,False
20251114-T5,TestBatch-1,19/11/2025 02:31:10 p.m.,Complete,R24_A03,Glutamine,Probe2A,2.67324875660507,mmol/L,00:00:50,25,0.603072302682059,6.15985706874302,0.844629287719727,5.55678476606097,5.57587668327161,4.12389019557408,4.15142828117995,-1.31613595145082,25.8769874572754,,2.67324875660507,False
20251114-T5,TestBatch-1,19/11/2025 02:31:10 p.m.,Complete,R24_A03,Glutamate,Probe2B,10.1679355859688,mmol/L,00:00:50,25,1.00111470903669,5.12500490461077,1.16174370901925,4.12389019557408,4.15142828117995,,,-0.801642281668522,25.8769874572754,,10.1679355859688,False
20251114-T5,TestBatch-1,19/11/2025 02:25:48 p.m.,Complete,R24_A04,Glucose,Probe1A,3.05787551358728,g/L,00:00:30,25,-0.0643318721226284,3.57090977260045,-0.00450706481933594,3.63524164472308,3.65143461440673,,,0.0316020420619985,26.188606262207,,3.05787551358728,False
20251114-T5,TestBatch-1,19/11/2025 02:25:48 p.m.,Complete,R24_A04,Lactate,Probe1B,2.32614893413061,g/L,00:00:30,25,1.85651070731027,17.4938400813511,2.07133047921317,15.6373293740409,15.7069849362384,,,2.51240321568113,26.188606262207,,2.32614893413061,False
20251114-T5,TestBatch-1,19/11/2025 02:33:43 p.m.,Complete,R24_A04,Glutamine,Probe2A,3.25377494272949,mmol/L,00:00:50,25,0.669745309012277,6.46206637791225,0.862012590680804,5.79232106889997,5.80774086108139,4.06022099086217,4.08457692645256,-0.81046240670343,25.8975639343262,,3.25377494272949,False
20251114-T5,TestBatch-1,19/11/2025 02:33:43 p.m.,Complete,R24_A04,Glutamate,Probe2B,10.0041991023628,mmol/L,00:00:50,25,1.0679190499442,5.12814004080636,1.17809023175921,4.06022099086217,4.08457692645256,,,-0.743416377476218,25.8975639343262,,10.0041991023628,False
20251114-T5,TestBatch-1,19/11/2025 02:28:47 p.m.,Complete,R24_A05,Glucose,Probe1A,3.05958098320724,g/L,00:00:30,25,-0.00548498971121652,3.62569291251046,-0.00262560163225446,3.63117790222168,3.65347112988176,,,0.688550131661568,26.1404647827148,,3.05958098320724,False
20251114-T5,TestBatch-1,19/11/2025 02:28:47 p.m.,Complete,R24_A05,Lactate,Probe1B,2.42654605439344,g/L,00:00:30,25,1.935332434518,18.2202548980713,2.22404725211007,16.2849224635533,16.3849020001342,,,2.82597133091516,26.1404647827148,,2.42654605439344,False
20251114-T5,TestBatch-1,19/11/2025 02:36:42 p.m.,Complete,R24_A05,Glutamine,Probe2A,2.67400676322479,mmol/L,00:00:50,25,0.675163269042969,6.04758262634277,0.813174111502511,5.3724193572998,5.38511312439231,3.93974903651646,3.9623472415275,-0.769827706473227,25.9055252075195,,2.67400676322479,False
